halqa_id,name,political_party,votes_2013,,
PP-6,KHALID MEHMOOD KHOKAR,Independent,28,,
PP-6,MAULANA ABDUL GHAFAR TAUHADI GHAFARI,Jamiat Ulama-e-Islam (F),694,,
PP-6,MOLANA MUHAMMAD SHAFQAAT RIAZ,Independent,298,,
PP-6,MRS ROBINA TAHSIN,Independent,162,,
PP-6,MUHAMMAD MUNIR AZAM,Jamaat-e-Islami Pakistan,2443,,
PP-6,MUHAMMAD ZUBAIR ANWAR BAIG,Pakistan Falah Party,83,,
PP-6,MUHAMMAD ZUBAIR CH,Independent,20,,
PP-6,RABIA ISHAQ HANJRA ADOCVATE,Tehreek-e-Insaniat Pakistan,44,,
PP-6,REHANA KHAN,Muttahida Qaumi Movement Pakistan,94,,
PP-6,SHAHNAZ BEGUM RAJA,All Pakistan Muslim League,105,,
PP-6,SHEIKH ARIF MEHMOOD,Pakistan Sunni Tehreek,65,,
PP-6,SHUJAAT ALI,Independent,334,,
PP-6,SYED RAHAT KAZMI,Awami Muslim League Pakistan,2080,,
PP-6,WASIQ QAYUM ABBASI,Pakistan Tehreek-e-Insaf,49398,,
PP-7,Abdul Basit,MUTAHIDA DEENI MAHAZ,212,,
PP-7,Ateeq ur Rehman,Jamaat-e-Islami Pakistan,1620,,
PP-7,Chaudhary Muhammad Kamran Ali Khan,Millat Party,0,,
PP-7,Chaudhary Muhammad Kamran Ali Khan,Pakistan Peoples Party Parliamentarians,14529,,
PP-7,Chaudhary Nisar Ali Khan,Pakistan Muslim League (N),47666,,
PP-7,Chaudhary Waqar Ali Khan,Independent,1280,,
PP-7,Chaudhary Waqar Ali Khan,Millat Party,0,,
PP-7,Hafiz Muhammad Haroon,Jamiat Ulama-e-Islam (F),1490,,
PP-7,Khurram Shahzad Ghaznavi,Independent,59,,
PP-7,Malik Azhar Mehmood,All Pakistan Muslim League,324,,
PP-7,Muhammad siddique Khan,Pakistan Tehreek-e-Insaf,48440,,
PP-7,Sarfaraz Mehmood Shuaib,Independent,228,,
PP-7,Syed Mureed Abbas Bukhari,Independent,963,,
