NA-1,Aamir Shehzad Hashmi,MustaqbIl Pakistan,77
NA-1,Akram Khan,Independent,182
NA-1,Alhaaj Ghulam Ahmad Bilour,Awami National Party,24468
NA-1,Amir Syed,Pakistan Peoples Party (Shaheed Bhutto),454
NA-1,Bashir Ahmad Afridi,Muttahida Qaumi Movement Pakistan,117
NA-1,Haji Shah Nawaz,Jamiat Ulama-e-Islam (F),4738
NA-1,Hazrat Muhammad alias Babo Maavia,MUTAHIDA DEENI MAHAZ,4827
NA-1,Hidayatullah Khan Afridi Advocate,Independent,61
NA-1,Imran Khan,Pakistan Tehreek-e-Insaf,90500
NA-1,Jan Alam Khan Paracha,Qaumi Watan Party (Sherpao),1694
NA-1,Khalid Tanveer Rohela Advocate,Pakistan Muslim League (J),70
NA-1,Moeen ud Din,Jumiat Ulma-e-Islam(Nazryati),42
NA-1,Muhammad Afzal Khan Panyala,Pakistan Muslim League (N),4232
NA-1,Muhammad Zulfiqar Afghani,Pakistan Peoples Party Parliamentarians,7121
NA-1,Pir Abdur Rehman,Independent,265
NA-1,Shabir Ahmad Khan,Jamaat-e-Islami Pakistan,7051
NA-1,Syed Muhammad Sibtain Taj Agha,Jamiat Ulama-e-Pakistan (Noorani),100
NA-1,Tariq Saeed,Pakistan Insani Haqook Party (Pakistan Human Rights Party),45
NA-2,Aasir Sheraz,Independent,61
NA-2,Abdul Bari,Pakistan Muslim League (N),5159
NA-2,Arbab Alamgir Khan,Pakistan Peoples Party Parliamentarians,10666
NA-2,Arbab Najeeb Ullah Khan,Awami National Party,12137
NA-2,Hamid Ul Haq,Pakistan Tehreek-e-Insaf,79125
NA-2,Intizar Ali Khan Khalil,Independent,577
NA-2,Iqtidar Ahmad Afridi,Independent,263
NA-2,Ishaq Hussain,Independent,448
NA-2,Khadim Hussain,Independent,162
NA-2,Malik Haider Khan,Qaumi Watan Party (Sherpao),2242
NA-2,Muhammad Atiq ur Rehman,Independent,419
NA-2,Muhammad Ibrahim Khalil,Independent,156
NA-2,Muhammad Iqbal Khalil,Jamaat-e-Islami Pakistan,8020
NA-2,Muhammad Saeed Jan,Jamiat Ulama-e-Islam (F),18787
NA-2,Qazi Saif Ullah Khan,MUTAHIDA DEENI MAHAZ,3477
NA-2,Safeer Ullah,Independent,57
NA-2,Saleem Khan,Independent,275
NA-3,Arbab Inam Ullah Khan,Awami National Party,5902
NA-3,Fiza Tariq,Independent,679
NA-3,Haji Ghulam Ali,Jamiat Ulama-e-Islam (F),27987
NA-3,Iqbal Zaffar Jhagra,Pakistan Muslim League (N),22370
NA-3,Israr Ullah,Jamaat-e-Islami Pakistan,11954
NA-3,Malik Firdos Khan,Independent,1228
NA-3,Malik Javed Khan,Muttahida Qaumi Movement Pakistan,475
NA-3,Mst. Tabana,Independent,535
NA-3,Muhammad Fayyaz Khan,Independent,585
NA-3,Muhammad Hasham Babar,Independent,6449
NA-3,Muhammad Zaman,Qaumi Watan Party (Sherpao),2157
NA-3,Noor Alam Khan,Pakistan Peoples Party Parliamentarians,22045
NA-3,Sajid Nawaz,Pakistan Tehreek-e-Insaf,66528
NA-3,Sardar Ali,Independent,743
NA-3,Shoukat Ali Khan,Pakistan Muslim League,1337
NA-3,Umer Said Khan,Independent,471
NA-4,ANEELA SHAHEEN,Independent,1852
NA-4,ARBAB KAMAL AHMAD,Jamiat Ulama-e-Islam (F),12519
NA-4,ARBAB MOHAMMAD AYUB JAN,Awami National Party,15795
NA-4,FAIZ MUHAMMAD,Muttahida Qaumi Movement Pakistan,261
NA-4,GUL WAZIR SHAHEEN,MUTAHIDA DEENI MAHAZ,1519
NA-4,GULZAR KHAN,Pakistan Tehreek-e-Insaf,55134
NA-4,MIAN ABDUL LATIF,Qaumi Watan Party (Sherpao),759
NA-4,MISBAH UD DIN,Pakistan Peoples Party Parliamentarians,12031
NA-4,MOLANA MIRAJ UD DIN SIRKANI,Jamiat Ulama-e-Pakistan (Noorani),1166
NA-4,NASIR KHAN MOSAZAI,Pakistan Muslim League (N),20412
NA-4,SABIR HUSSAIN AWAN,Jamaat-e-Islami Pakistan,16493
NA-4,SHAUKAT KHAN MOMAND,Independent,222
NA-4,SYED HIZAR AMIN SHAH,Independent,392
NA-5,Amjid Hussain,Independent,930
NA-5,Asif Luqman Qazi,Jamaat-e-Islami Pakistan,19869
NA-5,Aziz ud Din,Independent,1005
NA-5,Eng Muhammad Tariq Khattak,Pakistan Peoples Party Parliamentarians,10171
NA-5,Iran Bacha,Pakistan Patriotic Movement,494
NA-5,Mufti Muhammad Sajjad,Jamiat Ulama-e-Islam (F),14131
NA-5,Muhammad Daud Khattak,Awami National Party,21435
NA-5,Pervez Khattak,Pakistan Tehreek-e-Insaf,70053
NA-5,Pir Zada Nabi Amin,Pakistan Muslim League (N),11648
NA-5,Shahzad Ali Khan,Independent,5541
NA-6,Amin Akber,Independent,3983
NA-6,Iqbal Hussain,Independent,203
NA-6,Irshad Ali,Independent,408
NA-6,Kamal Shah,Pakistan Peoples Party (Shaheed Bhutto),263
NA-6,Khan Adil Ghaffar Khan Khattak,Independent,921
NA-6,Maj Retd Liaqat Ali Shah Gailani,Pakistan Peoples Party Parliamentarians,5121
NA-6,Masood Abbas,Awami National Party,20316
NA-6,Mian Shahenshah,Independent,3207
NA-6,Molana Hamid ul Haq Haqqani,MUTAHIDA DEENI MAHAZ,11110
NA-6,Saeed Ullah,Independent,1453
NA-6,Siraj Muhammad Khan,Pakistan Tehreek-e-Insaf,54266
NA-6,Syed Zulfiqar Ali Shah,Pakistan Muslim League (N),34537
NA-7,Asfandyar Wali Khan,Awami National Party,38264
NA-7,Fazal Muhammad Khan,Pakistan Tehreek-e-Insaf,40254
NA-7,Ishtiaq Ahmad,MUTAHIDA DEENI MAHAZ,1032
NA-7,Kaleem Akbar Durrani,Pakistan Muslim League (N),3527
NA-7,Khanim Ullah,Pakistan Peoples Party Parliamentarians,6856
NA-7,Maulana Muhammad Gohar Shah,Jamiat Ulama-e-Islam (F),53610
NA-7,Muhammad Arshad Khan,Jamaat-e-Islami Pakistan,22664
NA-7,Nadir Khan,All Pakistan Muslim League,503
NA-7,Noor Zeb,Independent,1884
NA-7,Omar Shahzad,Independent,574
NA-7,Sikandar Hayat Khan,Qaumi Watan Party (Sherpao),2
NA-8,Abdul Mustaan,Jamaat-e-Islami Pakistan,11034
NA-8,Aftab Ahmad Khan Sherpao,Qaumi Watan Party (Sherpao),37044
NA-8,Arbab Hussain,Independent,895
NA-8,Gul Yousaf,Independent,1011
NA-8,Jehangir Khan,Pashtoonkhwa Milli Awami Party,929
NA-8,Jehanzeb Khan Dhakki,Pakistan Tehreek-e-Insaf,30089
NA-8,Khurshid Ali Khan,Pakistan Muslim League,361
NA-8,Liaqat Ali,Muttahida Qaumi Movement Pakistan,387
NA-8,Muhammad Taimoor Khan,Awami National Party,15953
NA-8,Musammir Shah,Jamiat Ulama-e-Islam (F),33836
NA-8,Sajjad Anwar Khan,Pakistan Muslim League (N),2678
NA-8,Syed Zakir Shah,All Pakistan Muslim League,183
NA-8,Umara Khan,Independent,299
NA-8,Waseef Ullah Khan,Pakistan Peoples Party Parliamentarians,3848
NA-9,Amir Haider Khan,Awami National Party,44769
NA-9,Atta ur Rahman,Jamaat-e-Islami Pakistan,4578
NA-9,Didar Shah,Independent,1211
NA-9,Inam Khan,Pakistan Muslim League,290
NA-9,Ma us Sama Aryani,Independent,82
NA-9,Nasir Khan,Pakistan Tehreek-e-Insaf,42068
NA-9,Nawabzada Khawaja Muhammad Khan Hoti,Pakistan Muslim League (N),32090
NA-9,Qayum Khan,Muttahida Qaumi Movement Pakistan,293
NA-9,Shazia Aurangzeb Khan,Pakistan Peoples Party Parliamentarians,7002
NA-9,Shuja ul Mulk,Jamiat Ulama-e-Islam (F),14427
NA-9,Yousaf Shah,Independent,87
NA-10,Abdul Ghaffar Khan Mohmand,Tehreek-e-Pasmanada Awam Pakistan,1638
NA-10,Ali Muhammad Khan,Pakistan Tehreek-e-Insaf,46531
NA-10,Maulana Noor ul Haq,Muttahida Qaumi Movement Pakistan,170
NA-10,Mualana Muhammad Qasim,Jamiat Ulama-e-Islam (F),39269
NA-10,Muhammad Farooq Khan,Awami National Party,19436
NA-10,Muhammad Fayaz,Jamiat Ulama-e-Pakistan (Noorani),3426
NA-10,Naseem Muhammad Khan,Pakistan Muslim League (N),11491
NA-10,Nawabzada Abdul Qadir Khan,Pakistan Peoples Party Parliamentarians,15345
NA-10,Sultan Muhammad,Jamaat-e-Islami Pakistan,19107
NA-10,Yar Badshah,All Pakistan Muslim League,160
NA-10,Zardali Khan,Pakistan Muslim League,166
NA-11,Abdul Nazeer,Jannat Pakistan Party,352
NA-11,Bakhtiar Ali,Independent,267
NA-11,Gul Nawaz Khan,Jamaat-e-Islami Pakistan,15536
NA-11,Himmat Ali,Tehreek-e-Ittehad Ummat Pakistan,327
NA-11,Ikram Ul Haq Khan,Pashtoonkhwa Milli Awami Party,652
NA-11,Imdad Ullah Yousafzai,Jamiat Ulama-e-Islam (F),26623
NA-11,Inayat Khan,Awami National Party,11506
NA-11,Khanzada Khan,Pakistan Peoples Party Parliamentarians,26928
NA-11,Mujahid Ali,Pakistan Tehreek-e-Insaf,38233
NA-11,Nawab Ali,Independent,176
NA-11,Sher Afghan Khan,Pakistan Muslim League (N),12659
NA-11,Syed Amin Shah Bacha,Independent,707
NA-11,Syed Naveed Ali Shah,All Pakistan Muslim League,187
NA-11,Wahid Ali Naqshband,Jamiat Ulama-e-Pakistan (Noorani),220
NA-12,Abdul Hakam,MUTAHIDA DEENI MAHAZ,329
