name,province_id
Ghakhar Mandi,Punjab
Gujranwala,Punjab
Gujrat,Punjab
Gujar Khan,Punjab
Hafizabad,Punjab
Haroonabad,Punjab
Hasilpur,Punjab
Haveli Lakha,Punjab
Jampur,Punjab
Jhang,Punjab
Jhelum,Punjab
Kalabagh,Punjab
Karor Lal Esan,Punjab
Kasur,Punjab
Kamalia,Punjab
Kamokey,Punjab
Khanewal,Punjab
Khanpur,Punjab
Kharian,Punjab
Khushab,Punjab
Kot Addu,Punjab
Jahania,Punjab
Jalla Araain,Punjab
Jauharabad,Punjab
Laar,Punjab
Lahore,Punjab
Lalamusa,Punjab
Layyah,Punjab
Lodhran,Punjab
Mamoori,Punjab
Mandi Bahauddin,Punjab
Makhdoom Aali,Punjab
Mandi Warburton,Punjab
Mailsi,Punjab
Mian Channu,Punjab
Minawala,Punjab
Mianwali,Punjab
Multan,Punjab
Murree,Punjab
Muridke,Punjab
Muzaffargarh,Punjab
Narowal,Punjab
Okara,Punjab
Renala Khurd,Punjab
Rajan Pur,Punjab
Pak Pattan,Punjab
Panjgur,Punjab
Pattoki,Punjab
Pirmahal,Punjab
Qila Didar Singh,Punjab
Rabwah,Punjab
Raiwind,Punjab
Rajan Pur,Punjab
Rahim Yar Khan,Punjab
Rawalpindi,Punjab
Rohri,Punjab
Sadiqabad,Punjab
Safdar Abad - (Dhaban Singh),Punjab
Sahiwal,Punjab
Sangla Hill,Punjab
Samberial,Punjab
Sarai Alamgir,Punjab
Sargodha,Punjab
Shakargarh,Punjab
Shafqat Shaheed Chowk,Punjab
Sheikhupura,Punjab
Sialkot,Punjab
Sohawa,Punjab
Sooianwala,Punjab
Sundar (city),Punjab
Talagang,Punjab
Tarbela,Punjab
Takhtbai,Punjab
Taxila,Punjab
Toba Tek Singh,Punjab
Vehari,Punjab
Wah Cantonment,Punjab
Wazirabad,Punjab
Ali Bandar,Sindh
Baden,Sindh
Chachro,Sindh
Dadu,Sindh
Digri,Sindh
Diplo,Sindh
Dokri,Sindh
Gadra,Sindh
Ghanian,Sindh
Ghauspur,Sindh
Ghotki,Sindh
Hala,Sindh
Hyderabad,Sindh
Islamkot,Sindh
